file,class,method,variable,usage
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\Calculator.java,BehavioralPatterns.Command.Calculator,Calculator/0,value,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\Calculator.java,BehavioralPatterns.Command.Calculator,divide/1[double],value,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\Calculator.java,BehavioralPatterns.Command.Calculator,add/1[double],value,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\Calculator.java,BehavioralPatterns.Command.Calculator,multiply/1[double],value,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\Calculator.java,BehavioralPatterns.Command.Calculator,substract/1[double],value,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\MultiplyCommand.java,BehavioralPatterns.Command.MultiplyCommand,"MultiplyCommand/2[BehavioralPatterns.Command.Calculator,double]",calculator,3
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\MultiplyCommand.java,BehavioralPatterns.Command.MultiplyCommand,"MultiplyCommand/2[BehavioralPatterns.Command.Calculator,double]",operand,3
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\MultiplyCommand.java,BehavioralPatterns.Command.MultiplyCommand,undo/0,calculator,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\MultiplyCommand.java,BehavioralPatterns.Command.MultiplyCommand,undo/0,operand,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\MultiplyCommand.java,BehavioralPatterns.Command.MultiplyCommand,execute/0,calculator,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\MultiplyCommand.java,BehavioralPatterns.Command.MultiplyCommand,execute/0,operand,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Iterator\FanRequest.java,BehavioralPatterns.Iterator.FanRequest,toString/0,content,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Iterator\FanRequest.java,BehavioralPatterns.Iterator.FanRequest,getContent/0,content,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Iterator\FanRequest.java,BehavioralPatterns.Iterator.FanRequest,FanRequest/1[java.lang.String],content,3
